,WINDS,CURRENTS,SHIP P,SHIP V,F SAIL,AIR MASS,F SHIP,WATER MASS
0,[0.5 0. ],[0. 0.],"[70, 90]","(0, 0)","(0.0009532248501306161, 0.001242266810712975)",39.2,"(-1.1341245742593392e-05, 6.761723942983993e-07)",98.64811188188557
1,[0.9 0. ],[0. 0.],"[70.0000009418836, 90.00000124294299]","(0.0009418836043880227, 0.0012429429831072732)","(0.0030819894604386857, 0.004010783331304513)",70.48622368517229,"(0.0001948227012624193, 0.0002045288181089398)",707.5369430354465
2,[1.2 0. ],[0.1 0. ],"[70.00000516057936, 90.00000670119812]","(0.004218695766089128, 0.005458255132520726)","(0.005635975762622972, 0.007310907957574919)",95.31821483756009,"(0.0015909837260657377, 0.0017774410239308296)",1951.9005263491408
3,[1.5 0. ],[0.1 0. ],"[70.00001660623462, 90.00002124780224]","(0.011445655254777838, 0.014546604114026473)","(0.00817862453160929, 0.010549698054769713)",114.82672423494968,"(0.004927990000054472, 0.005279549738881898)",3515.033236318618
4,[1.7 0. ],[0.2 0. ],"[70.00004115850442, 90.00005162365414]","(0.0245522697864416, 0.030375851907678084)","(0.010460524545737001, 0.013376658452855636)",129.87165845618517,"(0.009738541571151366, 0.009561206494326156)",5241.30199612578
5,[1.8 0. ],[0.2 0. ],"[70.00008590984032, 90.000104937371]","(0.04475133590332997, 0.053313716854859874)","(0.012355790822766033, 0.015618047524263552)",141.1731616408468,"(0.014370423149260108, 0.012636623142253398)",7050.168184792715
6,[2. 0.],[0.2 0. ],"[70.0001573873902, 90.00018650575852]","(0.07147754987535611, 0.08156838752137684)","(0.013834235397977051, 0.0172516581666432)",149.42888305686822,"(0.01700089936747278, 0.013371604456968215)",8913.298754300702
7,[2.1 0. ],[0.3 0. ],"[70.00025970007485, 90.00029869740867]","(0.10231268464080595, 0.11219165014498825)","(0.014937374339117541, 0.01836539891279551)",155.34455801534122,"(0.01689984094523482, 0.012086285886381899)",10811.31570442532
8,[2.2 0. ],[0.3 0. ],"[70.00039384997477, 90.0004413407436]","(0.1341498999251583, 0.14264333494416565)","(0.015742491759073114, 0.019090777238571513)",159.56834031483973,"(0.014847774209475612, 0.00990726308275599)",12716.764032544741
9,[2.2 0. ],[0.4 0. ],"[70.00055859014067, 90.00061298211887]","(0.16474016589370702, 0.17164137526549314)","(0.016324224998046866, 0.01954181398188834)",162.59683264380084,"(0.01225787793832225, 0.00782486354081649)",14602.412162693085
10,[2.3 0. ],[0.4 0. ],"[70.0007519124095, 90.00081199017166]","(0.19332226883007614, 0.19900805278819797)","(0.016734798475456003, 0.019790950948056805)",164.74772143359144,"(0.009995138713841804, 0.0062148066938113545)",16448.85718108708
11,[2.3 0. ],[0.5 0. ],"[70.00097196461552, 90.00103700398209]","(0.22005220601937395, 0.22501381043006613)","(0.017008091120708536, 0.019881426974790842)",166.2176860329689,"(0.008145783273296387, 0.004984959740006222)",18243.66313230328
12,[2.4 0. ],[0.5 0. ],"[70.00121717069592, 90.00128688417924]","(0.24520608041337885, 0.2498801971448632)","(0.01717087568678315, 0.019846860849086562)",167.15262738856842,"(0.006531728885830318, 0.003956112654236557)",19978.62231962953
13,[2.4 0. ],[0.5 0. ],"[70.00148607938091, 90.00156056734988]","(0.2689086849859923, 0.2736831706481863)","(0.017247270338397423, 0.019718039498002576)",167.67591898854116,"(0.005052090911321816, 0.0030382499203795332)",21648.37832182892
14,[2.4 0. ],[0.6 0. ],"[70.00177728742715, 90.00185700680996]","(0.2912080462357115, 0.29643946006656846)","(0.017258069276759005, 0.01952146345251931)",167.889542369377,"(0.0036746129575180022, 0.0021986834631146663)",23249.779604594452
15,[2.4 0. ],[0.6 0. ],"[70.00208942815561, 90.00217516641693]","(0.31214072846998847, 0.31815960698220247)","(0.017220288670153263, 0.019278475778032555)",167.87473422957993,"(0.002382934519600506, 0.001420531441869134)",24781.40809949874
16,[2.4 0. ],[0.6 0. ],"[70.00242117210728, 90.00251402503113]","(0.33174395165974224, 0.33885861420210417)","(0.017147567509720466, 0.019005821483929507)",167.69546771536267,"(0.0011679448612242737, 0.0006943111298727513)",26243.186784071364
17,[2.5 0. ],[0.7 0. ],"[70.0027712315713, 90.00287258377794]","(0.350059464030687, 0.3585587468159064)","(0.017050668009200153, 0.018716370303181698)",167.401671127656,"(2.3553843167552074e-05, 1.3972486213784056e-05)",27636.053437234757
18,[2.5 0. ],[0.7 0. ],"[70.00313836525719, 90.00324987286754]","(0.3671336858830547, 0.37728908960530183)","(0.016937976399073414, 0.0184198386153293)",167.03201656951174,"(-0.0010546497942549328, -0.0006246094386227736)",28961.694252136913
19,[2.5 0. ],[0.7 0. ],"[70.00352138226967, 90.00364495718632]","(0.3830170124878731, 0.3950843187820084)","(0.01681594812826959, 0.018123423550151677)",166.6162067109138,"(-0.0020703290407655447, -0.0012245657771169885)",30222.32984165798
20,[2.5 0. ],[0.7 0. ],"[70.00391914490125, 90.00405694036289]","(0.39776263157537717, 0.4119831765550431)","(0.01668949174119481, 0.017832342485053207)",166.17684408861584,"(-0.003026656699687876, -0.0017883993572536565)",31420.54590817923
21,[2.5 0. ],[0.8 0. ],"[70.00433057036787, 90.00448496748257]","(0.4114254666168841, 0.4280271196828426)","(0.016562287264234313, 0.017550273550708703)",165.73092954731734,"(-0.003926616630785162, -0.0023182874841448852)",32559.16092869321
22,[2.5 0. ],[0.8 0. ],"[70.00475463150512, 90.00492822658832]","(0.4240611372503333, 0.44325910574940647)","(0.016437048498451064, 0.017279712953943496)",165.29106930517074,"(-0.004773001833107797, -0.002816156523581787)",33641.12410430411
23,[2.5 0. ],[0.8 0. ],"[70.00519035668904, 90.0053859492505]","(0.43572518391567655, 0.45772266217976815)","(0.016315733750838005, 0.017022257042644044)",164.86643187388444,"(-0.005568565702773781, -0.0032838180863193137)",34669.437613249676
24,[2.5 0. ],[0.8 0. ],"[70.00563682904101, 90.00585741035164]","(0.4464723519637408, 0.47146110113609285)","(0.01619971607716882, 0.016778826385297835)",164.46351536923197,"(-0.006315925230015961, -0.0037229423387421102)",35647.09829489931
