,WINDS,CURRENTS,SHIP P,SHIP V,F SAIL,F SHIP,NO SAIL
0,[0.5 0. ],[0. 0.],"(5, 15)","(0, 0)","(0.0009532248501306161, 0.001242266810712975)","(-6.170198928102269e-06, 2.094500304178552e-06)",
1,[0.9 0. ],[0. 0.],"(5.000000947054652, 15.00000124436131)","(0.0009470546512025138, 0.0012443613110171535)","(0.003081954012032964, 0.004010730619077525)","(0.000460435074745686, 0.00027715020773020374)",
2,[1.2 0. ],[0.1 0. ],"(5.000005436498389, 15.000006776603449)","(0.004489443737981163, 0.005532242137824882)","(0.00563346686435134, 0.007307185969405751)","(0.003556277038351344, 0.002280265282760927)",
3,[1.5 0. ],[0.1 0. ],"(5.00001911568603, 15.00002189629684)","(0.013679187640683845, 0.015119693389991562)","(0.00815371966876547, 0.010513153688823275)","(0.010647083538324865, 0.006360636006098388)",
4,[1.7 0. ],[0.1 0. ],"(5.000051595676878, 15.000053889779924)","(0.032479990847774184, 0.031993483084913225)","(0.01036076051308289, 0.01323449616148774)","(0.020162117671148647, 0.010338923435659928)",
5,[1.7 0. ],[0.1 0. ],"(5.00011459854591, 15.000109456682607)","(0.06300286903200572, 0.055566902682060895)","(0.012106851987359024, 0.015278770238104112)","(0.009785713275758251, 0.0020269349637262214)",
6,[1.7 0. ],[0.1 0. ],"(5.000199493980205, 15.00018232929049)","(0.084895434295123, 0.07287260788389123)","(0.01181399203898257, 0.014753839793561922)","(0.0033010889328467566, 0.0001702902482881093)",
7,[1.7 0. ],[0.1 0. ],"(5.000299504495471, 15.000270126028417)","(0.10001051526695232, 0.08779673792574126)","(0.01161499533808605, 0.014373839479904603)","(-0.0024754187171852856, 7.08261015611713e-05)",
8,[1.7 0. ],[0.1 0. ],"(5.000408654587359, 15.000372367431924)","(0.10915009188785307, 0.10224140350720703)","(0.011497114214861093, 0.014104010321632637)","(-0.007211485019731539, 0.00045907312750949005)",
9,[1.7 0. ],[0.1 0. ],"(5.000522090308442, 15.000489171918879)","(0.11343572108298262, 0.11680448695634917)","(0.011444407420193483, 0.013917810163006646)","(-0.010434319857758476, 0.0007584947597926898)",
10,[1.7 0. ],[0.1 0. ],"(5.000636536117087, 15.000620652710758)","(0.11444580864541763, 0.13148079187914852)","(0.01143557323348518, 0.013787511456757499)","(-0.012189879419768304, 0.0008396249077635495)",
11,[1.7 0. ],[0.1 0. ],"(5.000750227619546, 15.000766760639001)","(0.1136915024591345, 0.14610792824366955)","(0.011450532088386476, 0.013688648824687464)","(-0.012887592029805469, 0.0007781620312387379)",
12,[1.7 0. ],[0.1 0. ],"(5.000862482062064, 15.000927335378101)","(0.11225444251771549, 0.16057473909959574)","(0.01147496931009111, 0.01360391027253211)","(-0.012996828214591433, 0.0006681204899684492)",
13,[1.7 0. ],[0.1 0. ],"(5.000973214645677, 15.001102182147964)","(0.11073258361321517, 0.1748467698620963)","(0.011500965610578362, 0.013523574163785905)","(-0.012865700822987393, 0.0005610196536249958)",
14,[1.7 0. ],[0.1 0. ],"(5.001082582494078, 15.001291113511643)","(0.10936784840080614, 0.1889313636795072)","(0.01152530326599402, 0.01344354387251235)","(-0.012683633484982831, 0.00047312420109926317)",
